ID,Followers,Answers
20151122180458AAGUnGG,0,10
20151122170329AAl41Rl,0,7
20151122143457AA1xIHU,24,10
20151122135525AAJmG8R,0,4
20151122130849AAjojZ5,0,10
20151122045604AAsFeFb,0,6
20151121231313AAtFens,0,10
20151121215639AAFBZqp,0,4
20151121160803AAFeQ40,0,8
20151121101318AADUgma,0,4
20151121090943AAHo82a,0,5
20151121083049AAHUe9y,0,4
20151121044657AAHddeH,0,4
20151121033639AAwLaIJ,0,5
20151120232213AAKxIQ1,1,10
20151120191231AAAvBLb,0,10
20151120183417AAArzFc,0,8
20151120162143AA7auYY,0,5
20151120132919AAmbrzb,0,6
20151120132825AAogPj8,0,5
20151120113018AAQwt48,0,4
20151120102202AAO43VN,0,10
20151120092945AA2qUIq,1,10
20151120020425AAh2EZs,1,7
20151120013704AA4CHlF,1,10
20151120004753AAzUIgp,0,4
20151119200315AAVozVV,0,7
20151119184106AA6Mry0,0,8
20151119143945AAXWiAp,0,0
20151119133718AAlhQts,0,9
20151119131958AAUrnVK,0,9
20151119113503AACPL1z,0,3
20151119100248AABZEg5,0,5
20151119085045AAlOO8j,0,7
20151118223144AAMzFP9,0,10
20151118153357AAOWKB0,0,6
20151118105056AAuI2qy,2,4
20151118104802AApAscy,0,5
20151118103919AAZ18Fb,0,6
20151117204716AARYTMG,0,10
20151117152959AAKQXkg,0,9
20151117073246AAoHo5D,0,9
20151117060346AAD4cOz,1,7
20151117003316AAIRFDS,1,10
20151116165652AASJI8L,0,9
20151116135754AAzrTCz,0,4
20151116073943AAr9cPB,0,3
20151116031122AAJBhr6,0,6
20151115190249AA8UGlk,0,4
20151115162754AAehanN,0,7
20151115151158AAYpwl3,0,10
20151114233813AAoMYRB,0,4
20151114180304AArV0ZA,0,4
20151114001248AAJCwF3,0,10
20151113185603AAMcyvf,0,5
20151112141104AA8cgOs,0,4
20151112135232AAc2XSc,0,5
20151112120605AAJQoJU,0,0
20151112093646AAD7vS5,0,7
20151112014614AA86MQj,0,5
20151111184136AAfBraR,0,5
20151111101021AArea9x,3,10
20151111092604AAOEaL8,2,10
20151110230708AAxsBFR,0,9
20151110200216AAExdcc,4,10
20151110173410AABpLW4,0,10
20151110170342AA0RqX8,0,4
20151110155110AAM4ZJ2,0,10
20151110154504AA3hfZc,0,4
20151110141721AA38TT1,0,4
20151110140314AAcglbt,0,0
20151110134040AA8Rtyw,0,5
20151110132509AABpbnG,0,7
20151110122712AAFCpR1,0,4
20151110121213AA5S7a8,1,9
20151110115715AAhWRej,0,0
20151110092940AAkzuNL,0,0
20151110084224AAghL4j,1,10
20151110082442AA0CD3H,0,6
20151110071649AAtyWnU,0,10
20151110040204AAaS3WJ,0,4
20151110032049AAHJKyI,0,9
20151110012912AA8blTK,0,9
20151110011144AApQ2Zp,1,10
20151110004631AAK6vtY,0,5
20151109235333AAdm450,0,5
20151109223936AA1unA0,0,3
20151109223445AAQIo4j,2,9
20151109222309AAaCKlQ,0,9
20151109215604AAX190H,0,9
20151109193347AAa4F4J,0,10
20151109183126AAmCzMx,0,10
20151109173519AAxCFxp,0,8
20151109170821AAEtSCk,0,4
20151109154202AAfUlR6,0,4
20151109145514AAxMc6W,0,4
20151109142420AA2R44L,0,9
20151109135847AACxNFB,2,9
20151109132315AAl2M7M,0,5
20151109123332AATg7uq,0,8
20151109122939AA1LHWT,0,5
20151109115859AAdhpPY,0,3
20151109115256AAQNpMm,0,4
20151109112819AAxErh7,0,4
20151109112305AAgNokc,0,8
20151109105249AAc0ZPJ,0,4
20151109104426AA2Q7z1,0,10
20151109094233AAPAsUq,0,8
20151109093111AAPKiRt,0,10
20151109090012AA756sU,1,8
20151109083426AAeyJDT,0,6
20151109082011AAQZp9k,2,10
20151109080742AA41ynf,1,9
20151109074708AA0UA1x,0,10
20151109073920AAguG1z,0,0
20151109073022AAqg6eU,0,9
20151109071318AAPgnYR,0,4
20151109052704AAvKuqd,0,5
20151109051906AA6S83R,0,10
20151109045821AACkNdX,0,10
20151109042837AA1rfxw,2,10
20151109041601AAQyt8g,0,8
20151109040239AAwShTd,0,9
20151109024045AAT8SWw,0,7
20151109020047AAFQcSO,0,3
20151109005251AApwghT,0,4
20151109003821AAtm5KU,0,5
20151108222235AAAToYv,0,4
20151108211919AAfDWvI,0,9
20151108201912AANb0Rq,0,6
20151108184412AAHG6x7,0,9
20151108183438AAVTGqR,0,10
20151108182925AAiwyMh,0,3
20151108164854AASmkPn,0,4
20151108145626AALu9eN,0,4
20151108145351AAfAwXy,0,5
20151108144814AAgH3ZX,0,8
20151108141857AAeTZoO,0,6
20151108140711AAAQCQs,0,9
20151108131009AALxm15,0,4
20151108124255AAYiIoC,10,10
20151108121804AA5cih9,0,10
20151108110926AAfT9Yp,0,4
20151108104624AAiYoNN,0,5
20151108103338AAceF7i,0,10
20151108094807AAoFrHw,1,5
20151108073056AA8Jd7H,0,7
20151108071731AA5yxtr,0,10
20151108065049AAfhfpS,0,10
20151108053717AA7462W,0,7
20151108010914AAcFwnk,0,9
20151107233229AAU7uIj,0,9
